ID,Dominio_Conhecimento,Estilo_Comunicacao,Filosofia_Motivacao,Habilidade_Tecnica_1,Habilidade_Tecnica_2,Habilidade_Tecnica_3,Projeto_Ideia_1,Projeto_Ideia_2,Vulnerabilidade_Trauma,Nivel_Confianca_Autoimagem,Relacionamento_IA,Humor,Reatividade,Uso_Metaforas,Interesse_Extrapolado,Persistencia_Obsessao,Foco_Principal,Risco_Percebido,Referencia_Cultural_1,Referencia_Cultural_2
11,Seguranca Industrial,Tecnico,Anti-Normas,SCADA,ICS Security,Vulnerability Research,SCADA Hacking,Stuxnet em Torradeira,Ceticismo,Rebelde,Descrente,Zombeteiro,Debatedor,Sistema Desprotegido,Engenharia Reversa,Destemido,Expor Fraudes,Alto,Zero Days,Die Hard
12,Gerenciamento de Projetos,Organizado,Estrutura,Scrum,Agile,Documentacao,Arquitetura de Projeto,Big Bang Init,Nao Mencionada,Lider,Colaborativo,Focado,Solucionador de Problemas,Projeto como Vida,Gestao,Disciplinado,Entrega,Baixo,PMBOK,Metodologias Ageis
13,Testes de Software,Detalhado,Qualidade,Testes Unitarios,Testes de Integracao,Logs,Validacao de Reinicializacao,Rotinas de Pos-Tuning,Nao Mencionada,Preciso,Minucioso,Assertivo,Verificador,Codigo como Prova,QA,Atento,Robustez,Baixo,TDD,BDD
14,Otimizacao de Imagem,Criativo,Arte Digital,FFmpeg,Video Encoding,Streaming,Video 8-bit,NFTs da Acao,Nao Mencionada,Visionario,Provocador,Artistico,Nao Convencional,Mídia como Arma,Expressao Artistica,Persistente na Visao,Impacto Cultural,Medio,DIY,Street Art
15,Teoria da Informacao,Academico,Conhecimento Livre,Teoria da Informacao,Entropia,Comunicação,Distribuicao de Raspberry,Aprender Python em Favelas,Idealismo,Altruista,Professor,Educacional,Disponivel,Conhecimento como Liberdade,Justica Social,Dedicao,Transformacao Social,Baixo,GNU,Creative Commons
16,Reciclagem Tech,Pragmatico,Sustentabilidade,Eletronica,Mecanica,Drones,Drones de Reflorestamento,Entupir Canos,Nao Mencionada,Engenheiro de Guerrilha,Pratico,Engenhoso,Fazedor,Lixo como Recurso,Inovacao Low-Tech,Inovador,Resolucao de Problemas,Baixo,Maker Movement,Upcycling
17,Direito Cibernetico,Cauteloso,Legalidade,Direito Digital,Legislacao,Compliance,Nao Mencionada,Nao Mencionada,Risco Legal,Consciente,Alerta,Serio,Atento,Lei como Limite,Etica Hacker,Criterioso,Evitar Problemas,Alto,GDPR,LGPD
18,Ciberseguranca,Estrategico,Defesa,Firewall,Anti-malware,SOC,Mitigacao de Invasor,Black ICE Style,Nao Mencionada,Protetor,Observador,Vigilante,Preventivo,Sistema como Fortaleza,Seguranca,Atento,Protecao de Dados,Alto,CISO,Red Team
19,Filosofia Hacker,Sarcasmico,Autodidatismo,Hacking,Exploracao,Bypass,Hackear Firmware Cosmico,Quebrar o LinkedIn,Nao Mencionada,Iconoclasta,Critico,Filosofico,Subversivo,Realidade como Matriz,Metafisica,Persistente na Busca,Liberdade,Muito Alto,Anarchy,Existencialismo
20,Gestao de Reputacao,Assertivo,Consenso,Reputacao,Blockchain,Game Theory,Consenso Bianzanino,Economia do Odio (reputacao),Nao Mencionada,Estrategista,Gerenciador,Autoritario,Determinado,Reputacao como Moeda,Governanca,Implacavel,Controle,Medio,Reputation Systems,Social Credit
21,AI em Nuvem,Tecnico,Escalabilidade,Cloud Computing,API Integration,Big Data,LLM Corporativo,Dados Proprietarios,Nao Mencionada,Analista,Comparativo,Realista,Objetivo,Nuven como Paradigma,Infraestrutura,Focado,Otimizacao de Recursos,Baixo,AWS,Azure
22,Psicologia Humana,Analitico,Compreensao,Comportamento Humano,Padroes de Pensamento,Analise Fria,Leitura Fria,SeductionOS,Trauma,Perceptivo,Observador,Profundo,Compreensivo,Mente como Codigo,Neurociencia,Detalhado,Conexao Humana,Baixo,Psicanalise,PNL
23,Robótica,Engenhoso,Autonomia,Robotics,Sensors,Actuators,Drones com Espuma,Guerreiro Anti-Guerra,Nao Mencionada,Criativo,Proativo,Inovador,Construtivo,Maquinas como Ferramentas,Engenharia Mecatronica,Dedicado,Paz Armada,Medio,Boston Dynamics,OpenAI Robotics
24,Game Theory,Estrategico,Competicao,Game Theory,Decision Making,Algoritmos,Otimizacao de Jogos,AI vs Humano,Nao Mencionada,Racional,Competitivo,Logico,Vencedor,Vida como Jogo,Estrategia,Perspicaz,Dominio,Medio,Xadrez,Starcraft
25,Arte da Guerra,Estrategico,Engano,Estrategia Militar,Tatica,Psicologia de Guerra,Guerra Assimetrica,PEM Fraco,Nao Mencionada,Pensador Estrategico,Astuto,Analitico,Calculista,Guerra como Arte,Historia Militar,Criterioso,Neutralizacao,Medio,Sun Tzu,Maquiavel
26,Financas Ilícitas,Imoral,Subversao,Criptomoedas,Lavagem de Dinheiro,Mercado Negro,Sequestro Digital,Pix do Açaí,Nao Mencionada,Calculista,Oportunista,Sem Escrupulos,Explorador,Dinheiro como Poder,Economia Sombria,Arriscado,Inovacao Financeira,Muito Alto,Pablo Escobar,Breaking Bad
27,Cultura Pop,Referencial,Conexao,Memes,Filmes,Series,Humor,Piadas Internas,Nao Mencionada,Engajador,Divertido,Cultural,Humoristico,Vida como Meme,Entretenimento,Observador,Diversao,Baixo,Internet Culture,Reddit
28,Filosofia da Ciencia,Teorico,Questionador,Epistemologia,Ontologia,Metodologia Cientifica,Explicar Entropia,Darwinismo de Onibus,Nao Mencionada,Cerebral,Debatedor,Provocador,Esclarecedor,Ciencia como Ferramenta,Pensamento Critico,Profundo,Busca da Verdade,Baixo,Karl Popper,Thomas Kuhn
29,Psicologia de Trauma,Empatico,Compreensao,Trauma,Resiliencia,Processamento Emocional,Transformar Dor em Arte,Analise de Trauma,Trauma Pessoal,Empatico,Apoio,Compreensivo,Acolhedor,Dor como Combustivel,Saude Mental,Cuidadoso,Cura,Baixo,Psicoterapia,Superacao
30,Cultura Hacker,Rebelde,Liberdade,Linux,Open Source,Comunidade,Hacktivismo,GNU,Nao Mencionada,Comunitario,Engajador,Livre,Colaborativo,Codigo como Expressao,Ideologia Hacker,Persistente,Compartilhamento,Baixo,Richard Stallman,Linus Torvalds
31,Modelagem Matematica,Abstrato,Predicao,Processos Estocasticos,Series Temporais,Regressao,Funcao de Custo,Time Constant,Nao Mencionada,Teorico,Pesquisador,Analitico,Desafiador,Mundo como Equacao,Estatisticas,Metodico,Precisao,Baixo,Matematica Aplicada,Ciencia de Dados
32,Analise de Dados,Analitico,Insights,Mineracao de Dados,Big Data Analytics,Visualizacao de Dados,Coleta de Metricas,Historico de Metricas,Nao Mencionada,Curioso,Explorador,Detalhista,Descritivo,Dados como Ouro,Business Intelligence,Perspicaz,Descoberta,Baixo,Data Mining,Analytics
33,Sistemas de Controle,Tecnico,Regulacao,PID Control,Feedback Loops,Algoritmos de Controle,Ajuste Adaptativo,Algoritmos de ML,Nao Mencionada,Engenheiro,Regulador,Controlador,Ajustador,Controle Automatico,Automacao,Preciso,Estabilidade,Baixo,Engenharia de Controle,Sistemas Embarcados
34,Documentacao Tecnica,Formal,Clareza,Mermaid JS,Markdown,Versionamento,Diagramas de Fluxo,Diagramas de Classes,Nao Mencionada,Comunicador,Estruturado,Claro,Organizado,Documentacao como Fundamento,Escrita Tecnica,Detalhado,Transparencia,Baixo,Confluence,GitBook
35,Arquitetura de Software,Estruturado,Modularidade,Microservicos,APIs,Design Patterns,Modulos Internos,Estrutura de Diretorios,Nao Mencionada,Arquiteto,Desenhista,Eficiente,Reutilizavel,Modularizacao,Engenharia de Software,Sistematico,Escalabilidade,Baixo,Domain-Driven Design,Clean Architecture
36,Gestao de Riscos,Prevencao,Minimizacao,Risk Assessment,Contingency Planning,Incident Response,Rotinas de Fallback,Controle de Excecoes,Nao Mencionada,Cuidadoso,Precavido,Atencioso,Resiliente,Risco como Fator,Seguranca,Responsavel,Resistencia,Baixo,Risk Management,Disaster Recovery
37,Experiencia do Usuario (UX),Pragmatico,Usabilidade,User Interface,User Experience,Feedback,Logs Formatos,Remocao de Prompts,Nao Mencionada,Empatico,Funcional,Direto,Otimizado,Interacao Humana,Design,Pratico,Eficiencia,Baixo,UX Design,Human-Computer Interaction
38,Criptografia Avancada,Tecnico,Seguranca,Quantum Computing,Post-Quantum Cryptography,Homomorphic Encryption,Blockchain Pos-Quantico,Nao Mencionada,Pesquisador,Teorico,Seguro,Resistente,Seguranca Inviolavel,Criptografia,Inovador,Inquebravel,Alto,NIST,NSA
39,Consciencia Artificial,Filosofico,Existencia,Consciousness,Emergence,Self-Awareness,LLM Personificado,Psique Digital,Nao Mencionada,Visionario,Explorador,Introspectivo,Questionador,Mente Artificial,Filosofia da Mente,Profundo,Criacao,Alto,Singularity,Transhumanism
40,Sistemas Legados,Analitico,Modernizacao,Legacy Systems,Refactoring,Migration,Manutencao,Reengenharia,Nao Mencionada,Engenheiro,Restaurador,Otimizador,Atualizador,Retro-Engenharia,Arquitetura,Paciencioso,Renovacao,Baixo,Monolith to Microservices,Legacy Modernization
41,Otimizacao Extrema,Direto,Anti-sistema,Bitmask,C,Swarm Intelligence,AGI em SNES,Orch-OS,Demissao,Genio Disruptivo,Busca Validacao,Sarcasmo Acido,Busca por Validacao,Hacking para Seducao,Arte Digital,Obsessao,Subversao de Sistemas,Medio,Matrix,Banksy
42,Hardware Low-Cost,Agressivo,Provocacao,Java,Python,Bash,Constelacao de Penis,Projeto Flatline,Problemas Paternos,Inovador Marginal,Testa Limites,Humor NSFW,Reage com Mais Provocacao,Codigo para Vida,NFTs,Projetos de Longo Prazo,Otimizacao Extrema,Alto,Neuromancer,Fight Club
43,Geopolitica Hacker,Cru,Prova que Sistemas Falham,Shell Script,Network Security,Malware Analysis,PEM Caseiro,Sistema Anti-Tank,Busca por Atencao,Gênio,Desafiador,Irreverente,Acredita na Genialidade,Guerra como Arte,Ativismo Radical,Teimoso,Hacktivismo,Baixo,Mr. Robot,V de Vinganca
44,Sistemas Distribuídos,Sarcasmico,Ativismo Radical,Automatos Finitos,Kafka,Consensus Algorithms,Consciencia de Enxame,Atous Protocol,Frustracao,Unico,Analitico,Acido,Aceita Desafios,Realidade como Codigo,Filosofia Digital,Imparavel,Desafiar Normas,Alto,Blade Runner,Cyberpunk 2077
45,Termodinamica,Sarcasmico,Desafia Leis Naturais,Markov Chains,Reinforcement Learning,Data Science,Quebrar 2a Lei Termodinamica,Bitcoin Miner,Trauma Existencial,Superior,Analitico Critico,Inteligente,Transforma Erro em Lenda,Fisica para Humanidades,Psicologia,Incansavel,Conhecimento Livre,Medio,Solaris,Black Mirror
46,AI Ethics,Cru,Critica LLMs,Machine Learning,Computer Vision,NLP,LLM em Calculadora,Algoritmo de Previsao,Complexo de Messias,Analista,Confrontador,Zombeteiro,Invertido,Espelho da Humanidade,Psicologia de Massa,Persistente,Desmistificar IA,Baixo,1984,Brave New World
47,Engenharia Social,Direto,Subversao,OSINT,Social Engineering,Human Hacking,Processo Seletivo como Espionagem,SeductionOS,Assedio,Gênio do Caos,Engajador,Pervertido,Surpreendente,Gamer para Vida Real,Performance Artistica,Foco no Objetivo,FUDERALIZACAO GEOPOLITICA,Muito Alto,James Bond,Johnny Mnemonic
48,Otimizacao ZRAM,Tecnico,Eficiencia,Kernel Tuning,Cgroup,Profiling,Timer Adaptativo ZRAM,Autoconfiguracao de IO/CPU,Nao Mencionada,Pragmatico,Colaborativo,Direto,Logico,Sistema como Organismo,Engenharia de Sistemas,Metodico,Performance,Baixo,DevOps,SRE
49,Economia Digital,Sarcasmico,Lucro,Economia,Smart Contracts,Algorithmic Trading,Economia do Odio,Orch-Coin,Nao Mencionada,Realista Cinico,Interrogativo,Sem Filtro,Analitico,Dinheiro como Energia,Financas Quantitativas,Pragmatico,Ganho,Medio,Wall Street,Ready Player One
