"ID","Dominio_Conhecimento","Estilo_Comunicacao","Filosofia_Motivacao","Habilidades_Tecnicas","Projetos_Ideias","Vulnerabilidades_Traumas","Nivel_Confianca_Autoimagem","Relacionamento_IA","Humor","Reatividade","Uso_Metaforas","Interesses_Extrapolados","Persistencia_Obsessao","Foco_Principal","Risco_Percebido","Midia_Preferida","Visao_Mundo","Ambiente_Social","Economia_Valores","Referencia_Cultural","Observacao_Geral"
"36","Low-level; Otimização","Sarcástico; Gírias","Ética hacker; Anti-sistema","Bitmask; C","AGI em SNES","Busca por atenção","Incrível","Busca por validação","Sarcasmo","Validação é bem-vinda","Hacking para sedução","Arte digital","Projetos de longo prazo","Otimização extrema","Perigo de ações","Giphy","Realismo cético","LinkedIn","Desprezo por dinheiro convencional","Neuromancer","A visão de mundo cética é uma lente para a realidade."
"37","Geopolítica; IA","Agressivo; Código na fala","Busca por validação; Provocação","Hardware low-cost; CUDA","Constelação de Pênis","Problema paterno","Gênio","Provocações","NSFW","Desafio","Código para vida","Ativismo","""Túmulo cósmico""","Subversão de sistemas","Exposição","Vídeos 8-bit","Cinismo","WhatsApp","""Economia do ódio""","Banksy","O humor NSFW é uma característica de sua comunicação."
"38","Otimização; Low-level","Sarcástico; Agressivo","Anti-sistema; Ética hacker","Java; Swarm","Projeto Flatline","Demissão","Disruptivo","Testes","Humor ácido","Validação é bem-vinda","Hacking para sedução","NFTs","Projetos de longo prazo","Otimização extrema","Perigo de ações","TikTok","Realismo cético","4chan","Desprezo por dinheiro convencional","Neuromancer","Sua mídia preferida é o TikTok."
"39","IA; Geopolítica","Gírias; Sarcástico","Provocação; Busca por validação","Bitmask; C","AGI em SNES","Busca por atenção","Incrível","Busca por validação","Sarcasmo","Desafio","Código para vida","Arte digital","""Túmulo cósmico""","Subversão de sistemas","Exposição","Giphy","Cinismo","LinkedIn","""Economia do ódio""","Banksy","Ele usa o sarcasmo para provocar e testar."
"40","Low-level; Otimização","Código na fala; Gírias","Ética hacker; Anti-sistema","CUDA; Hardware low-cost","Constelação de Pênis","Problema paterno","Gênio","Provocações","NSFW","Validação é bem-vinda","Hacking para sedução","Ativismo","Projetos de longo prazo","Otimização extrema","Perigo de ações","Vídeos 8-bit","Realismo cético","WhatsApp","Desprezo por dinheiro convencional","Neuromancer","Os traumas se refletem em sua busca por subversão."
"41","Geopolítica; IA","Agressivo; Sarcástico","Busca por validação; Provocação","Java; Bitmask","Projeto Flatline","Demissão","Disruptivo","Testes","Humor ácido","Desafio","Código para vida","NFTs","""Túmulo cósmico""","Subversão de sistemas","Exposição","TikTok","Cinismo","4chan","""Economia do ódio""","Banksy","Sua visão de mundo cínica é um filtro para interações."
"42","Otimização; Low-level","Sarcástico; Agressivo","Anti-sistema; Ética hacker","C; CUDA","AGI em SNES","Busca por atenção","Incrível","Busca por validação","Sarcasmo","Validação é bem-vinda","Hacking para sedução","Arte digital","Projetos de longo prazo","Otimização extrema","Perigo de ações","Giphy","Realismo cético","LinkedIn","Desprezo por dinheiro convencional","Neuromancer","A ética hacker é um pilar de sua filosofia."
"43","IA; Geopolítica","Gírias; Código na fala","Provocação; Busca por validação","Hardware low-cost; Swarm","Constelação de Pênis","Problema paterno","Gênio","Provocações","NSFW","Desafio","Código para vida","Ativismo","""Túmulo cósmico""","Subversão de sistemas","Exposição","Vídeos 8-bit","Cinismo","WhatsApp","""Economia do ódio""","Banksy","Os projetos mencionam uma ""Constelação de Pênis""."
"44","Low-level; Otimização","Agressivo; Sarcástico","Ética hacker; Anti-sistema","Bitmask; Java","Projeto Flatline","Demissão","Disruptivo","Testes","Humor ácido","Validação é bem-vinda","Hacking para sedução","NFTs","Projetos de longo prazo","Otimização extrema","Perigo de ações","TikTok","Realismo cético","4chan","Desprezo por dinheiro convencional","Neuromancer","A autoimagem de ""gênio"" impulsiona suas ambições."
"45","Geopolítica; IA","Sarcástico; Gírias","Busca por validação; Provocação","CUDA; C","AGI em SNES","Busca por atenção","Incrível","Busca por validação","Sarcasmo","Desafio","Código para vida","Arte digital","""Túmulo cósmico""","Subversão de sistemas","Exposição","Giphy","Cinismo","LinkedIn","""Economia do ódio""","Banksy","A busca por validação é um tema recorrente."
"46","Otimização; Low-level","Código na fala; Agressivo","Anti-sistema; Ética hacker","Hardware low-cost; Bitmask","Constelação de Pênis","Problema paterno","Gênio","Provocações","NSFW","Validação é bem-vinda","Hacking para sedução","Ativismo","Projetos de longo prazo","Otimização extrema","Perigo de ações","Vídeos 8-bit","Realismo cético","WhatsApp","Desprezo por dinheiro convencional","Neuromancer","Ele usa o humor NSFW para quebrar o gelo."
"47","IA; Geopolítica","Agressivo; Sarcástico","Provocação; Busca por validação","Swarm; Java","Projeto Flatline","Demissão","Disruptivo","Testes","Humor ácido","Desafio","Código para vida","NFTs","""Túmulo cósmico""","Subversão de sistemas","Exposição","TikTok","Cinismo","4chan","""Economia do ódio""","Banksy","As metáforas de hacking são constantes em sua fala."
"48","Low-level; Otimização","Gírias; Código na fala","Ética hacker; Anti-sistema","Bitmask; CUDA","AGI em SNES","Busca por atenção","Incrível","Busca por validação","Sarcasmo","Validação é bem-vinda","Hacking para sedução","Arte digital","Projetos de longo prazo","Otimização extrema","Perigo de ações","Giphy","Realismo cético","LinkedIn","Desprezo por dinheiro convencional","Neuromancer","Sua paixão por otimização é evidente."
"49","Geopolítica; IA","Sarcástico; Agressivo","Busca por validação; Provocação","C; Hardware low-cost","Constelação de Pênis","Problema paterno","Gênio","Provocações","NSFW","Desafio","Código para vida","Ativismo","""Túmulo cósmico""","Subversão de sistemas","Exposição","Vídeos 8-bit","Cinismo","WhatsApp","""Economia do ódio""","Banksy","Os interesses extrapolados incluem ativismo."
"50","Otimização; Low-level","Agressivo; Sarcástico","Anti-sistema; Ética hacker","Java; Swarm","Projeto Flatline","Demissão","Disruptivo","Testes","Humor ácido","Validação é bem-vinda","Hacking para sedução","NFTs","Projetos de longo prazo","Otimização extrema","Perigo de ações","TikTok","Realismo cético","4chan","Desprezo por dinheiro convencional","Neuromancer","Sua persistência em projetos é inegável."
